gameDate,game,competition,bet,market,betValue,betTime,betAmount,odds,isMarketMaker,wallet
2026-06-25 20:00:00 UTC,Ecuador vs Germany,FIFA World Cup ,Not Germany,1X2,51.0,2026-06-24 03:00:08 UTC,51.0,1.4712,Yes,0x8268feC8dCb0D284343054BDf2b649286c9aA0a1
2026-06-26 02:00:00 UTC,Turkey vs USA,FIFA World Cup ,Under 0.5,Under/Over (0.5),5.0,2026-06-24 02:46:43 UTC,5.0,1.0513,Yes,0xe2C68b7ef85645e47F9b94382c3Db59b046945a2
2026-06-28 02:00:00 UTC,Jordan vs Argentina,FIFA World Cup ,Tie,1X2,17.0,2026-06-24 02:08:27 UTC,17.0,1.125,Yes,0x68E1818FF20BBe84F9be9E0A4A395FB11079Bd35
2026-06-28 02:00:00 UTC,Jordan vs Argentina,FIFA World Cup ,Not Argentina,1X2,344.0,2026-06-24 02:08:27 UTC,344.0,1.1775,Yes,0x68E1818FF20BBe84F9be9E0A4A395FB11079Bd35
2026-06-26 19:00:00 UTC,Norway vs France,FIFA World Cup ,Norway,1X2,349.0,2026-06-24 02:06:18 UTC,349.0,1.2087,Yes,0x8268feC8dCb0D284343054BDf2b649286c9aA0a1
2026-06-26 19:00:00 UTC,Norway vs France,FIFA World Cup ,Norway,1X2,125.0,2026-06-24 02:04:49 UTC,125.0,1.2087,Yes,0x8268feC8dCb0D284343054BDf2b649286c9aA0a1
2026-06-26 19:00:00 UTC,Norway vs France,FIFA World Cup ,Norway,1X2,125.0,2026-06-24 02:03:07 UTC,125.0,1.2087,Yes,0x8268feC8dCb0D284343054BDf2b649286c9aA0a1
2026-06-26 19:00:00 UTC,Norway vs France,FIFA World Cup ,Norway,1X2,125.0,2026-06-24 02:02:27 UTC,125.0,1.2087,Yes,0x8268feC8dCb0D284343054BDf2b649286c9aA0a1
2026-06-28 02:00:00 UTC,Jordan vs Argentina,FIFA World Cup ,Tie,1X2,0.0,2026-06-24 02:01:19 UTC,0.0,1.125,Yes,0x68E1818FF20BBe84F9be9E0A4A395FB11079Bd35
2026-06-28 02:00:00 UTC,Jordan vs Argentina,FIFA World Cup ,Tie,1X2,26.0,2026-06-24 02:01:02 UTC,26.0,1.125,Yes,0x68E1818FF20BBe84F9be9E0A4A395FB11079Bd35
2026-06-28 02:00:00 UTC,Algeria vs Austria,FIFA World Cup ,Under 2.5,Under/Over (2.5),350.0,2026-06-24 02:00:50 UTC,350.0,1.6612,Yes,0x740d5718a79A8559fEeE8B00922F8Cd773A81D84
