fillHash,bettor,side,stake,odds,marketLabel,betLabel,competition,gameLabel,teamOneName,teamTwoName,marketHash,sportXeventId,maker,settled,tradeStatus,valid,betTime,gameTime,netReturn,chainVersion,baseToken
0x5743b3baab7d0b4196ffe72f2ea5f72938b9bc8bd6e7156319c249a8e1d4977e,0x47d3E967E91199423245cDD504Db05a98BC30879,1,2,1.0625,1X2,FC Fastav Zlín,First League,AC Sparta Praha vs FC Fastav Zlín,AC Sparta Praha,FC Fastav Zlín,0x9500bf5b6846fee92a67b0c91fbfea74b8f7a29f9e2edf9a22ae104e172317f4,L19527404,0,0,SUCCESS,1,1785467456,1785517200,32.0,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0xdd3c48b46e7e419535742c6600d8d5c0bfbf337cf9d7384d0931d8644057b38b,0x47d3E967E91199423245cDD504Db05a98BC30879,1,3,1.0625,1X2,FC Fastav Zlín,First League,AC Sparta Praha vs FC Fastav Zlín,AC Sparta Praha,FC Fastav Zlín,0x9500bf5b6846fee92a67b0c91fbfea74b8f7a29f9e2edf9a22ae104e172317f4,L19527404,0,0,SUCCESS,1,1785467455,1785517200,48.0,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0x1c93771d6891dfab8458278bde673acf937ec233145cec08e5cbbf6abad22ca4,0x47d3E967E91199423245cDD504Db05a98BC30879,1,3,1.0625,1X2,FC Fastav Zlín,First League,AC Sparta Praha vs FC Fastav Zlín,AC Sparta Praha,FC Fastav Zlín,0x9500bf5b6846fee92a67b0c91fbfea74b8f7a29f9e2edf9a22ae104e172317f4,L19527404,0,0,SUCCESS,1,1785467402,1785517200,48.0,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0x94f51445b33e0f282b7b2e2a657f02ae3b738ee45fa16dda9267fc320dd63f2e,0x47d3E967E91199423245cDD504Db05a98BC30879,1,4,1.0625,1X2,FC Fastav Zlín,First League,AC Sparta Praha vs FC Fastav Zlín,AC Sparta Praha,FC Fastav Zlín,0x9500bf5b6846fee92a67b0c91fbfea74b8f7a29f9e2edf9a22ae104e172317f4,L19527404,0,0,SUCCESS,1,1785467401,1785517200,64.0,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0x7a2d2b6948d276131073d7eb95625bb09fee93e0072e6618ec7171f59bef3d9a,0x47d3E967E91199423245cDD504Db05a98BC30879,1,3,1.0625,1X2,FC Fastav Zlín,First League,AC Sparta Praha vs FC Fastav Zlín,AC Sparta Praha,FC Fastav Zlín,0x9500bf5b6846fee92a67b0c91fbfea74b8f7a29f9e2edf9a22ae104e172317f4,L19527404,0,0,SUCCESS,1,1785467400,1785517200,48.0,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0xb45d6395ce739a0bf97a9c585d0c3aa5d6e2da00ec07295407594c566a55e0a5,0x47d3E967E91199423245cDD504Db05a98BC30879,1,3,1.0625,1X2,FC Fastav Zlín,First League,AC Sparta Praha vs FC Fastav Zlín,AC Sparta Praha,FC Fastav Zlín,0x9500bf5b6846fee92a67b0c91fbfea74b8f7a29f9e2edf9a22ae104e172317f4,L19527404,0,0,SUCCESS,1,1785467398,1785517200,48.0,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0x4449ee9e19610ed1a6459a4ec622295d3b7f27785ad56fb418383aa2562ee601,0x34FcBC23fB24111d68542f4B3cF185543Af2fA25,,35,1.5987,1X2,,First League,FK Pardubice vs FK Jablonec,FK Pardubice,FK Jablonec,0x6f33961a8aeffc315ff5d4a74c7a39f6142a8a7935508f048474d0ff32992a6d,L19527406,0,0,SUCCESS,1,1785415503,1785693600,58.455115,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0x19f2092f5b69321f498e3935667243b7f359a9876c356076e23b9a65276c6308,0x44a80DC6b2015FBaC7a505fB0D7CCa1FAC58C7Bf,1,0.99998,1.8363,1X2,AC Sparta Praha,First League,AC Sparta Praha vs FC Fastav Zlín,AC Sparta Praha,FC Fastav Zlín,0x030b420c1d99e5824e84934cc2cf515e30fa8607adbe9c86574bc07d04d89b58,L19527404,0,0,SUCCESS,1,1785344291,1785517200,1.195791,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
