fillHash,bettor,side,stake,odds,marketLabel,betLabel,competition,gameLabel,teamOneName,teamTwoName,marketHash,sportXeventId,maker,settled,tradeStatus,valid,betTime,gameTime,netReturn,chainVersion,baseToken
0xd238f20fcde288ce4c57fbb8f7b33433a2d8034453a92004f2884ec326a64527,0xAB03DDB118c18F7EfC711f056a7A4B5D25e040aA,1,1.99999,1.5725,1X2,FC Basel,Super League,FC Basel vs FC Lausanne-Sport,FC Basel,FC Lausanne-Sport,0xfc8ce8d533e549d1e6aca91b60884b272be0e67a9b5fa6a1ef4d23ebf5216175,L19608292,0,0,SUCCESS,1,1785472452,1785600000,3.493432,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0x1e132fb445f06c70fb459988df209de859a4064a819ad6bab3740c5a3eb17da8,0xAB03DDB118c18F7EfC711f056a7A4B5D25e040aA,1,1.99999,1.5725,1X2,FC Basel,Super League,FC Basel vs FC Lausanne-Sport,FC Basel,FC Lausanne-Sport,0xfc8ce8d533e549d1e6aca91b60884b272be0e67a9b5fa6a1ef4d23ebf5216175,L19608292,0,0,SUCCESS,1,1785472090,1785600000,3.493432,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0x7417df48500a21fdf17e408e1817d476b873de30de27e939dc5f140ed6eb83a4,0x44a80DC6b2015FBaC7a505fB0D7CCa1FAC58C7Bf,1,0.99999,1.5737,1X2,FC Basel,Super League,FC Basel vs FC Lausanne-Sport,FC Basel,FC Lausanne-Sport,0xfc8ce8d533e549d1e6aca91b60884b272be0e67a9b5fa6a1ef4d23ebf5216175,L19608292,0,0,SUCCESS,1,1785344488,1785600000,1.742902,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
