fillHash,bettor,side,stake,odds,marketLabel,betLabel,competition,gameLabel,teamOneName,teamTwoName,marketHash,sportXeventId,maker,settled,tradeStatus,valid,betTime,gameTime,netReturn,chainVersion,baseToken
0x848837022989ee9dec208574f5d50ab7affffe028314c6870f307c31bef629f9,0x44a80DC6b2015FBaC7a505fB0D7CCa1FAC58C7Bf,1,1,1.5975,1X2,Minnesota United,Leagues Cup,Minnesota United vs FC Juarez,Minnesota United,FC Juarez,0xa947ef8257fa77bf9bf63b430cdba1a0674915e675f85052f9b34c137885a429,L19648563,0,0,SUCCESS,1,1785876313,1785889800,1.67364,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0x58e408a89e1b9a79d32f656842d9e8ebb23fce40e148acfdc0d6860341fc7787,0x44a80DC6b2015FBaC7a505fB0D7CCa1FAC58C7Bf,1,1,1.5038,1X2,Charlotte FC,Leagues Cup,Charlotte FC vs Pumas UNAM,Charlotte FC,Pumas UNAM,0x5d152e8ce49fc8cc655b57972fcffe2ee3358f987e1bab480ecc2f00fbf498bb,L19648524,0,0,SUCCESS,1,1785876305,1785888000,1.985112,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0x9f5bef4ebeb1af959a717da66cd39c462d25e1d23012d5a95ddd3b9997883e25,0x44a80DC6b2015FBaC7a505fB0D7CCa1FAC58C7Bf,1,1,1.5225,1X2,FC Cincinnati,Leagues Cup,FC Cincinnati vs C.F. Pachuca,FC Cincinnati,C.F. Pachuca,0xd3e1c653b21c1a64cb64c9084561b673d57dbfc63f670529e4145012a37fe4cf,L19636566,0,0,SUCCESS,1,1785876297,1785887100,1.913876,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0x06db3661bf475c8e25aac9229739925c9fb7bc2ad41371e835d73e14341a4c86,0x44a80DC6b2015FBaC7a505fB0D7CCa1FAC58C7Bf,1,0.99998,1.8113,1X2,Vancouver Whitecaps,Leagues Cup,Vancouver Whitecaps vs Atlante,Vancouver Whitecaps,Atlante,0xcd9aaa7185a9f5b48f0732c0b7c8b38f3c793cacf15333860d9e633479dfa629,L19648601,0,0,SUCCESS,1,1785876281,1785897000,1.232641,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0x7fdee12b66509b4e55d9cd06d636d596bc1c82783a54364f8a433918b68a3771,0x44a80DC6b2015FBaC7a505fB0D7CCa1FAC58C7Bf,1,1,1.585,1X2,Columbus Crew,Leagues Cup,Columbus Crew vs Atlas Guadalajara,Columbus Crew,Atlas Guadalajara,0x18e582b1c740328d239c7711491cd712723bf483eeb586f32123be8dd5d44234,L19636567,0,0,SUCCESS,1,1785876267,1785887100,1.709402,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
