fillHash,bettor,side,stake,odds,marketLabel,betLabel,competition,gameLabel,teamOneName,teamTwoName,marketHash,sportXeventId,maker,settled,tradeStatus,valid,betTime,gameTime,netReturn,chainVersion,baseToken
0x4f97609c30ae789380ea4c06ab9061aee6a51daacdfd06a0ec6e2ddaa3c47aa3,0xe2C68b7ef85645e47F9b94382c3Db59b046945a2,2,11.0,1.8363,,,Swiss Super League,FC Luzern vs FC Thun,FC Luzern,FC Thun,0xce6633633af83f58f282dd835c58b3dd9d3c194915b96f2b56214e55c6802396,L19341512,1,0,SUCCESS,1,1784949364,1785004200,14.290069,SXR,
0x42cfa62c47a0981804e28c9b25bc209d3615c8e34de31f4f75a62c332b9b2d40,0xE4DD6165bFF7EE73D7932C3b478f7E22431e85E7,1,15.0,1.8262,,,Swiss Super League,FC Luzern vs FC Thun,FC Luzern,FC Thun,0x1ee0e10723a554a709ac8552768447b6a93d47aa31660f060f8edd23671d9492,L19341512,1,0,SUCCESS,1,1784929190,1785004200,18.705029,SXR,
0xcffff562aa52bfe65947a869c2603e7276874bedff1cc830677fdeb11a575c85,0x0dE776fe723F8121F0cEAF1C9B03f774320c3ef5,2,4.0,1.7113,,,Swiss Super League,FC Luzern vs FC Thun,FC Luzern,FC Thun,0x844aff1ee37992da403c0a7e2dbe2bda82c639b62e48dc60b590d4450eeef017,L19341512,1,0,SUCCESS,1,1784929190,1785004200,6.268387,SXR,
0x57a290923cd10134800456841d8b3e738d280326cccf3cd042046d73be93f2e8,0xE4DD6165bFF7EE73D7932C3b478f7E22431e85E7,1,3.0,1.4763,,,Swiss Super League,FC Luzern vs FC Thun,FC Luzern,FC Thun,0xc8f73cd2e39fc6eb9efe7a801aaf01142a89d846e6c3402564550b138a19b1de,L19341512,1,0,SUCCESS,1,1784929189,1785004200,7.637228,SXR,
0x1889a6ca8836ec9635e726f3ff0db5912dcf134feb7fb2b7b1bcf1b77314f85b,0xE4DD6165bFF7EE73D7932C3b478f7E22431e85E7,1,6.0,1.8262,,,Swiss Super League,FC Luzern vs FC Thun,FC Luzern,FC Thun,0x1ee0e10723a554a709ac8552768447b6a93d47aa31660f060f8edd23671d9492,L19341512,1,0,SUCCESS,1,1784927821,1785004200,8.115098,SXR,
0x3c5792bfa7c22dbf3c4decf20326b18029862c6a966ff7afc9a09783856141b2,0xE4DD6165bFF7EE73D7932C3b478f7E22431e85E7,1,0.0,1.4763,,,Swiss Super League,FC Luzern vs FC Thun,FC Luzern,FC Thun,0xc8f73cd2e39fc6eb9efe7a801aaf01142a89d846e6c3402564550b138a19b1de,L19341512,1,0,SUCCESS,1,1784924303,1785004200,1.909291,SXR,
0xa1448f5e7e475dcc18cbc51fd9b3ffafa9612bcba2ae0589c40035e6809507d5,0x0dE776fe723F8121F0cEAF1C9B03f774320c3ef5,2,4.0,1.7113,,,Swiss Super League,FC Luzern vs FC Thun,FC Luzern,FC Thun,0x844aff1ee37992da403c0a7e2dbe2bda82c639b62e48dc60b590d4450eeef017,L19341512,1,0,SUCCESS,1,1784923946,1785004200,5.783536,SXR,
0x86fb53e0ea43b1114e176cbe3cf41b785a50f0c004ccf930a9d2951773d0e9f2,0xe2C68b7ef85645e47F9b94382c3Db59b046945a2,1,0.0,1.4775,,,Swiss Super League,FC Luzern vs FC Thun,FC Luzern,FC Thun,0xc8f73cd2e39fc6eb9efe7a801aaf01142a89d846e6c3402564550b138a19b1de,L19341512,1,0,SUCCESS,1,1784923812,1785004200,1.913864,SXR,
0xb481a73ecf5a2cc72e2751320ef2b3e74b37200ba77645edeb146c50077cefc5,0xe2C68b7ef85645e47F9b94382c3Db59b046945a2,1,3.0,1.78,,,Swiss Super League,FC Lugano vs Vaduz,FC Lugano,Vaduz,0x5f6352d10ec51487d2b9f46f79e0de9863ef1bceccdaaa2c27637587394b36aa,L19341502,1,0,SUCCESS,1,1784916558,1785076200,4.545449,SXR,
0x80d85d8b1e112bd4d482d78b97db1bbdf8715c13b00740d42aee330e2c85b407,0xe2C68b7ef85645e47F9b94382c3Db59b046945a2,2,7.0,1.33,,,Swiss Super League,Servette FC vs FC Basel,Servette FC,FC Basel,0xb5dda0447fcfa60e7ebfcc6edd9e3ec304028e39dda0a4d7de1892160ea34c5f,L19341514,1,0,SUCCESS,1,1784909762,1784995200,21.492515,SXR,
0xfd8c5ce208f9d8fecc6d178b62cf337dea51b64aa861f536d18c652acb6d6a61,0xe2C68b7ef85645e47F9b94382c3Db59b046945a2,2,6.0,1.3425,,,Swiss Super League,FC Lausanne-Sport vs Grasshopper Club Zürich,FC Lausanne-Sport,Grasshopper Club Zürich,0x3858ff4a597e0becaa4fc417a00c0820a9d6ba9d6310e76040f1c741b0dcd5b0,L19341507,1,0,SUCCESS,1,1784684702,1784995200,19.863095,SXR,
