fillHash,bettor,side,stake,odds,marketLabel,betLabel,competition,gameLabel,teamOneName,teamTwoName,marketHash,sportXeventId,maker,settled,tradeStatus,valid,betTime,gameTime,netReturn,chainVersion,baseToken
0x7329421797dc603c2125293bb4d7a5bfcff5a6ef4e85c5df6823893cb97e17ee,0x740d5718a79A8559fEeE8B00922F8Cd773A81D84,,60.05998,1.7575,1X2,,Primera A,CDP Junior FC vs Millonarios,CDP Junior FC,Millonarios,0x0793e576da59b70aa8ea4c5fb634c02f46858b912ecd6a02f91f6ebbaa986be7,L19606649,0,0,SUCCESS,1,1785400533,1785633300,79.287102,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0x9ff1fda59e1de553a293f3669eef33f243c577ad387b1abf6cbe9347473b44c6,0x44a80DC6b2015FBaC7a505fB0D7CCa1FAC58C7Bf,1,1,1.6637,1X2,Atlético Bucaramanga,Primera A,Atlético Bucaramanga vs Llaneros FC,Atlético Bucaramanga,Llaneros FC,0x0a67b48214c191d8392e1d2d3f46113bbde830da36a1ff74ffb1f181c08e506b,L19614187,0,0,SUCCESS,1,1785344668,1785459600,1.506591,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
0xb99da8b648376c357d13a6060e6f4dc2ae7491c558b543e4c668392cdfe2e5bd,0x44a80DC6b2015FBaC7a505fB0D7CCa1FAC58C7Bf,1,0.99999,1.6987,1X2,Fortaleza CEIF,Primera A,Fortaleza CEIF vs Deportivo Pereira,Fortaleza CEIF,Deportivo Pereira,0xd09cb30bf0c8317660cdcbbfc8ea542253305047aabd0fa7acee0ff117d36274,L19596272,0,0,SUCCESS,1,1785344544,1785546000,1.431113,SXR,0x6629Ce1Cf35Cc1329ebB4F63202F3f197b3F050B
